Award,Domicile,Father's Name,Mother's Name,Name,Rank at time of Award,Service No.,Service Particulars of Awardee,Unit,Year of Award
ASHOKA CHAKRA,,NA,NA,HAV BACHITTAR SINGH,HAV,13730,,2 SIKH,1952 (Republic Day)
ASHOKA CHAKRA,,NA,NA,NK NARBAHADUR THAPA,NK,10341,,5/5 GR,1952 (Republic Day)
ASHOKA CHAKRA,Kolkata (West Bengal),Shri Samual Biswas,Mrs Diana Biswas,FLT LT SUHAS BISWAS,FLT LT,2883,FLT LT SUHAS BISWAS AC (2883) GD(P) (Deceased),GD(P),1952
ASHOKA CHAKRA,MAHARASHTRA,NA,NA,D. K. JATAR,,,,,1955 (Republic Day)
ASHOKA CHAKRA,Surindar Kaur,Kalyan Singh,Makhan Kaur,A/L/NK SUNDAR SINGH,A/L/NK,15103,,4 J&K; INF,1956 (Republic Day)
ASHOKA CHAKRA,MADRAS,NA,NA,LT COL JAGANNATH RAOJI CHITNIS,LT COL,IC-3472,,1/3 GR,1957 (Republic Day)
ASHOKA CHAKRA,,NA,NA,HAV JOGINDER SINGH,HAV,18576,,2 SIKH,1957 (Republic Day)
ASHOKA CHAKRA,MADRAS,NA,NA,2/LT POLUR MUTHUSWAMY RAMAN,2/LT,IC-7415,,SIKH LI,1957 (Republic Day)
ASHOKA CHAKRA,,VEERA  VIJAYA  SUCKEV,NA,CAPT ERIC JAMES TUCKER,CAPT,IC-5034,,MLI,1958 (Republic Day)
ASHOKA CHAKRA,DARJEELING  STATE - WB,NA,NA,"CAPT MAN BAHADUR RAI, MC, IDSM",CAPT,IC-5261,,11 GR,1962 (Republic Day)
ASHOKA CHAKRA,,NA,NA,"SUB MAJ Kharka Bahadur Limbu, MC",SUB MAJ,30385,,8 ASSAM RIF,1962 (Republic Day)
ASHOKA CHAKRA,,NA,NA,PURSHOTTAM,,,,,1965 (Republic Day)
ASHOKA CHAKRA,,NA,NA,CHAMAN LAL,,,,,1965 (Republic Day)
ASHOKA CHAKRA,,NA,NA,LAJJA RAM,,,,,1965 (Republic Day)
ASHOKA CHAKRA,,NA,NA,TEJ	SINGH,,,,,1965 (Republic Day)
ASHOKA CHAKRA,,NA,NA,SHANKAR	LAL,,,,,1967 (Republic Day)
ASHOKA CHAKRA,,NA,NA,DHANPAT	SINGH,,,,,1968 (Republic Day)
ASHOKA CHAKRA,,NA,NA,GOVIND	SINGH,,,,,1968 (Republic Day)
ASHOKA CHAKRA,,NA,NA,HUKUM	SINGH,,,,,1968 (Republic Day)
ASHOKA CHAKRA,,NA,NA,LAKHAN	 SINGH,,,,,1968 (Republic Day)
ASHOKA CHAKRA,,NA,NA,TAKHAT	SINGH,,,,,1968 (Republic Day)
ASHOKA CHAKRA,,NA,NA,CAPT JAS RAM SINGH,CAPT,EC-53763,,6 RAJPUT,1969 (Republic Day)
ASHOKA CHAKRA,,NA,NA,BAIJ NATH	SINGH,,,,,1971 (Republic Day)
ASHOKA CHAKRA,Almora (UK),KUNWAR SINGH MAHRA,NA,CAPT UMMED SINGH MAHRA,CAPT,IC-17696,,RAJ RIF,1972 (Republic Day)
ASHOKA CHAKRA,,NA,NA,BHURE	LAL,,,,,1972 (Republic Day)
