Award,Domicile,Father's Name,Mother's Name,Name,Rank at time of Award,Service No.,Service Particulars of Awardee,Unit,Year of Award
MAHA VIR CHAKRA,,NA,NA,BRIG RAJENDRA SINGH,BRIG,2,,J&K; STATE FORCES,1950 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,BRIG YADUNATH SINGH,BRIG,IA-946,,19 INF BDE,1950 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,BRIG M USMAN,BRIG,IA-219,,50 PARA BDE,1950 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,LT COL IJS BUTALIA,LT COL,IC-159,,4 DOGRA,1950 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,LT COL MAN MOHAN KHANNA,LT COL,IC-88,,4 KUMAON,1950 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,LT COL DEWAN RAJIT RAI,LT COL,IC-12,,1 SIKH,1950 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,"LT COL HARBANS SINGH VIRK, DSO",LT COL,IC-656,,"3 PARA, MLI",1950 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,LT COL KAMAN SINGH,LT COL,IC-397,,3 GARH RIF,1950 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,LT COL SHER JUNG THAPA,LT COL,IC-10631,,6 J&K; INF,1950 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,LT COL THAKUR PRITHI CHAND,LT COL,IEC-787,,2/8 GR,1950 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,MAJ HARI CHAND,MAJ,IC-2520,,2/8 GR,1950 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,MAJ KHUSHAL CHAND,MAJ,IEC-9090,,2 DOGRA,1950 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,CAPT ARVIND NILKHANTH JATAR,CAPT,IC-1523,,CENTRAL INDIA HORSE,1950 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,"SUB BISHEN SINGH BAHADUR O.B.I, MC",SUB,IO-17687,,1 SIKH,1950 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,SUB GURDIAL SINGH,SUB,SF-205,,1 PATIALA (RS),1950 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,JEM HARDEV SINGH,JEM,5219,,1ST PATIALA RS INF,1950 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,JEM SAMPOORAN SINGH,JEM,SF-227,,1 PATIALA (RS),1950 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,JEM Nand Singh,JEM,NA,,1 SIKH,1950 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,HAV CHUNI RAM,HAV,20714,,2 RAJ RIF,1950 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,L/HAV DAYA RAM,L/HAV,2930979,,1 RAJPUT,1950 (Republic Day)
MAHA VIR CHAKRA,PITTHORAGARH UTTRAKHAND,HAR SINGH,NA,NK NAR SINGH,NK,30831,,4 KUMAON,1950 (Republic Day)
MAHA VIR CHAKRA,Virudhunagar,Yagappan Nadar,Smt Souri Ammal,NK RAJU,NK,7770,,1 MADRAS,1950 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,NK PRITAM SINGH,NK,3442,,1 PATIALA (RS),1950 (Republic Day)
